trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
30min,7,14,1.5,mid,100,0.4,3.11828158900682,0.9615384615384616,-1.0,44,0.45454545454545453,10.625211450368223,0.8979591836734694,-1.0,True
30min,7,14,1.5,far,100,0.51,2.5124803303815053,0.9615384615384616,-1.0,44,0.5227272727272727,4.202969016318097,0.8979591836734694,-1.0,True
30min,7,14,2.0,mid,100,0.38,-0.33132240797269974,0.9615384615384616,-1.0,44,0.4318181818181818,10.87869264152436,0.8979591836734694,-1.0,False
30min,7,14,2.0,far,100,0.48,0.9262146511174463,0.9615384615384616,-1.0,44,0.4772727272727273,2.6456138952731116,0.8979591836734694,-1.0,True
30min,8,10,1.0,mid,49,0.40816326530612246,-2.2857860704709987,0.47115384615384615,-1.0,23,0.5652173913043478,8.899937982639013,0.46938775510204084,-1.0,False
30min,8,10,1.0,far,49,0.4897959183673469,-1.94209668632528,0.47115384615384615,-1.0,23,0.6086956521739131,3.4153008148409065,0.46938775510204084,-1.0,False
30min,8,10,1.25,mid,49,0.3877551020408163,-0.6045719200452866,0.47115384615384615,-1.0,23,0.5652173913043478,12.69820499225222,0.46938775510204084,-1.0,False
30min,8,10,1.25,far,49,0.46938775510204084,-0.41175979215931946,0.47115384615384615,-1.0,23,0.6086956521739131,5.544469115133356,0.46938775510204084,-1.0,False
30min,8,10,1.5,mid,49,0.3673469387755102,-1.2419715744636384,0.47115384615384615,-1.0,23,0.4782608695652174,9.189639144014464,0.46938775510204084,-1.0,False
30min,8,10,1.5,far,49,0.4489795918367347,-0.3071877441441173,0.47115384615384615,-1.0,23,0.5217391304347826,2.4346464702106325,0.46938775510204084,-1.0,False
30min,8,10,2.0,mid,49,0.3469387755102041,-5.170123059477124,0.47115384615384615,-1.0,23,0.4782608695652174,9.939762598216223,0.46938775510204084,-1.0,False
30min,8,10,2.0,far,49,0.42857142857142855,-1.8707527951400293,0.47115384615384615,-1.0,23,0.5217391304347826,2.8442835412298137,0.46938775510204084,-1.0,False
30min,8,12,1.0,mid,75,0.4533333333333333,5.3609126369004905,0.7211538461538461,-1.0,34,0.5,7.399653161612397,0.6938775510204082,-1.0,True
30min,8,12,1.0,far,75,0.52,0.5434939811984734,0.7211538461538461,-1.0,34,0.6176470588235294,5.346422964958247,0.6938775510204082,-1.0,True
30min,8,12,1.25,mid,75,0.4266666666666667,6.192054166002542,0.7211538461538461,-1.0,34,0.5,11.863981942214819,0.6938775510204082,-1.0,True
30min,8,12,1.25,far,75,0.49333333333333335,0.9127037631850063,0.7211538461538461,-1.0,34,0.6176470588235294,8.091712713280119,0.6938775510204082,-1.0,True
30min,8,12,1.5,mid,75,0.4,4.263364031340469,0.7211538461538461,-1.0,34,0.4411764705882353,9.159635759703136,0.6938775510204082,-1.0,True
